Benchmark;SeqTime
correlation;866,5933753333334
covariance;853,1004456666666
reg_detect;0,33497933333333335
fdtd-2d;10,182415
fdtd-apml;32,15052766666667
adi;40,404885666666665
jacobi-1d-imper;2,259915
jacobi-2d-imper;7,114649333333333
mvt;445,697952
syr2k;181,83169833333332
syrk;94,72218400000001
cholesky;15,649892
bicg;22,936665
gemver;519,4909610000001
3mm;3181,310281
atax;29,837396666666667
2mm;2107,342825
symm;2355,739625
gemm;1061,2724946666667
doitgen;1975,0313633333333
dynprog;339,16893666666664
ludcmp;275,2560673333333
lu;24,491596
gramschmidt;2644,694119333333
