Benchmark;SeqTime
correlation;89,53635539999999
covariance;89,97443000000001
reg_detect;0,036014000000000004
fdtd-2d;2,0501991999999998
fdtd-apml;4,3138132
adi;5,339776
jacobi-1d-imper;0,1479476
jacobi-2d-imper;0,3918056
mvt;1,3588900000000002
syr2k;23,1409582
syrk;11,8889758
cholesky;1,6817701999999997
bicg;0,10303880000000001
gemver;1,5062592
3mm;293,88742940000003
atax;0,129251
2mm;195,3868816
symm;182,8133594
gemm;97,7774138
doitgen;10,1104532
dynprog;34,466417
ludcmp;14,638355800000003
lu;2,9075876000000003
gramschmidt;255,414228
